stco,year,whc,sand,silt,clay,om,kwfactor,kffactor,spH,slope,tfactor,ppt1,ppt2
1069,2001,21.186,63.558,12.268,24.174,60.045,0.181,0.181,5.209,58.892,4.943,919.937,733.968
1069,2006,21.184,63.586,12.261,24.153,59.926,0.181,0.181,5.21,59.06,4.944,376.788,522.98
1069,2011,21.194,63.558,12.266,24.176,60.257,0.181,0.181,5.209,59.021,4.943,510.333,490.351
1071,1992,21.387,32.364,36.379,31.257,82.782,0.286,0.299,5.278,36.356,4.17,663.013,747.107
1071,2001,20.982,33.041,36.135,30.824,83.11,0.285,0.298,5.276,36.129,4.09,823.077,836.82
1071,2006,20.975,33.009,36.134,30.857,83.079,0.285,0.298,5.276,36.119,4.091,493.072,683.387
1071,2011,20.978,33.03,36.126,30.844,83.124,0.285,0.298,5.276,36.126,4.09,840.774,854.377
1073,1992,18.504,32.772,37.383,29.845,94.786,0.238,0.312,5.226,31.496,4.086,595.442,706.306
1073,2001,17.909,36.545,35.872,27.583,90.095,0.246,0.312,5.219,30.891,3.977,834.666,924.687
1073,2006,17.862,36.727,35.832,27.441,89.874,0.246,0.313,5.219,30.86,3.972,519.023,622.172
1073,2011,17.732,36.807,35.913,27.28,88.805,0.245,0.314,5.215,30.759,3.966,787.459,887.179
1075,1992,27.799,45.81,28.116,26.074,92.527,0.281,0.285,4.793,27.447,4.704,566.228,597.272
1075,2001,28.056,45.451,28.514,26.035,101.394,0.284,0.287,4.804,27.556,4.683,803.257,900.545
1075,2006,28.054,45.458,28.51,26.032,101.357,0.284,0.287,4.804,27.547,4.683,416.103,653.012
1075,2011,28.022,45.493,28.467,26.041,101.524,0.284,0.287,4.803,27.522,4.68,900.021,894.608
1077,1992,28.158,17.66,45.798,36.542,66.715,0.286,0.335,5.039,42.605,4.602,659.293,718.87
1077,2001,28.265,17.468,45.931,36.6,66.738,0.287,0.336,5.04,42.699,4.597,787.047,972.35
1077,2006,28.28,17.432,45.958,36.609,66.745,0.287,0.336,5.04,42.715,4.596,553.094,672.866
1077,2011,28.291,17.424,45.959,36.617,66.769,0.287,0.336,5.04,42.721,4.597,891.99,916.781
1079,1992,23.22,23.01,41.535,35.455,82.3,0.304,0.316,5.544,42.715,4.125,651.891,741.936
1079,2001,23.118,23.22,41.429,35.351,81.22,0.304,0.316,5.532,42.748,4.111,875.8,1015.686
1079,2006,23.118,23.194,41.446,35.361,81.444,0.304,0.316,5.536,42.706,4.11,552.126,699.431
1079,2011,23.112,23.202,41.443,35.355,81.407,0.304,0.316,5.536,42.695,4.109,968.269,939.534
1081,1992,21.153,54.496,19.138,26.367,89.448,0.205,0.205,5.252,43.365,4.956,567.74,589.095
1081,2001,20.948,52.513,19.971,27.517,82.577,0.207,0.207,5.279,42.751,4.946,835.016,565.977
1081,2006,20.932,52.847,19.884,27.269,83.76,0.207,0.207,5.279,42.911,4.946,501.313,543.302
1081,2011,20.964,52.853,19.891,27.256,84.012,0.207,0.207,5.277,42.914,4.946,533.087,547.636
1083,1992,26.208,17.259,45.758,36.982,85.197,0.297,0.328,5.17,51.773,4.688,641.612,727.708
1083,2001,26.116,17.581,45.559,36.859,85.798,0.296,0.328,5.172,51.352,4.69,860.585,977.213
1083,2006,26.087,17.579,45.626,36.796,85.904,0.296,0.329,5.171,51.24,4.687,499.102,635.808
1083,2011,26.082,17.583,45.638,36.779,85.867,0.296,0.329,5.17,51.218,4.686,922.659,879.572
1085,1992,25.715,33.225,28.795,37.98,98.368,0.256,0.256,6.47,50.72,4.207,598.366,641.199
1085,2001,25.938,33.194,28.787,38.019,99.851,0.256,0.256,6.493,51.452,4.235,814.177,635.158
1085,2006,25.909,33.047,28.864,38.089,100.299,0.256,0.257,6.514,51.53,4.223,469.39,540.808
1085,2011,25.881,33.049,28.86,38.091,100.198,0.256,0.256,6.513,51.495,4.221,631.799,563.958
1087,1992,25.489,48.384,21.172,30.445,71.301,0.226,0.227,5.306,54.594,4.951,624.275,647.821
1087,2001,25.54,47.176,21.607,31.217,72.504,0.229,0.229,5.348,55.936,4.941,881.605,632.722
1087,2006,25.553,47.533,21.556,30.911,72.036,0.228,0.229,5.351,55.893,4.943,426.032,494.096
1087,2011,25.56,47.461,21.571,30.968,72.065,0.228,0.229,5.352,55.956,4.943,503.615,497.867
1089,1992,25.036,17.723,45.061,37.216,100.61,0.284,0.318,5.314,48.398,4.694,637.097,737.918
1089,2001,24.687,18.272,45.271,36.457,102.927,0.29,0.324,5.322,47.373,4.657,870.32,963.43
1089,2006,24.653,18.297,45.329,36.373,103.043,0.291,0.325,5.322,47.26,4.652,486.445,643.101
1089,2011,24.614,18.341,45.368,36.291,103.269,0.291,0.326,5.322,47.171,4.649,903.702,864.062
1091,1992,22.165,28.514,27.991,43.496,115.656,0.246,0.256,6.388,47.86,4.407,571.724,641.551
1091,2001,21.96,26.765,28.449,44.786,118.603,0.246,0.256,6.514,48.271,4.383,763.308,759.299
1091,2006,21.866,26.354,28.523,45.123,119.031,0.246,0.256,6.543,48.297,4.37,517.083,580.147
1091,2011,21.795,26.228,28.635,45.137,119.58,0.246,0.257,6.568,48.247,4.359,730.072,652.912
1093,1992,21.103,47.585,30.465,21.95,51.882,0.294,0.312,4.833,38.375,4.234,622.868,683.458
1093,2001,20.98,47.507,30.559,21.934,52.451,0.296,0.313,4.835,39.135,4.223,910.4,1059.192
1093,2006,20.968,47.469,30.608,21.923,52.389,0.297,0.313,4.835,39.305,4.223,489.237,716.577
1093,2011,20.99,47.491,30.587,21.922,52.496,0.297,0.313,4.835,39.292,4.225,954.31,953.757
1095,1992,17.542,40.906,31.934,27.161,65.212,0.29,0.295,5.06,45.384,3.487,658.232,788.226
1095,2001,17.229,41.137,31.757,27.107,64.993,0.286,0.292,5.063,44.557,3.412,863.195,869.312
1095,2006,17.214,41.17,31.737,27.093,65.008,0.286,0.292,5.063,44.537,3.408,501.603,711.768
1095,2011,17.214,41.164,31.74,27.095,65.004,0.286,0.292,5.062,44.544,3.408,872.285,927.515
1097,1992,26.368,60.798,22.473,16.729,218.764,0.246,0.249,5.152,90.478,4.918,711.104,732.69
1097,2001,26.703,60.394,22.454,17.152,157.102,0.246,0.249,5.149,96.794,4.946,944.358,895.959
1097,2006,26.705,60.403,22.469,17.128,150.88,0.246,0.25,5.152,97.527,4.95,543.139,749.61
1097,2011,26.706,60.374,22.513,17.113,155.909,0.247,0.25,5.153,97.425,4.946,564.757,791.621
1099,1992,25.072,49.253,26.363,24.384,37.223,0.218,0.228,5.019,83.417,4.981,699.251,735.844
1099,2001,24.919,49.179,26.232,24.589,38.923,0.214,0.225,5.008,80.592,4.973,964.565,819.332
1099,2006,25.514,49.003,26.427,24.569,36.66,0.221,0.229,5.012,86.991,4.98,490.876,655.545
1099,2011,25.452,49.092,26.411,24.497,36.563,0.22,0.229,5.013,86.693,4.979,627.233,613.057
1101,1992,20.559,24.263,33.636,42.101,73.553,0.266,0.279,6.287,49.583,4.285,657.609,675.911
1101,2001,20.57,23.811,34.018,42.171,73.79,0.268,0.282,6.292,49.673,4.266,851.104,652.991
1101,2006,20.546,23.44,34.094,42.466,73.639,0.268,0.282,6.323,49.645,4.244,465.441,545.034
1101,2011,20.536,23.396,34.07,42.534,73.587,0.268,0.281,6.328,49.623,4.241,564.696,504.62
1103,1992,22.109,31.033,36.864,32.103,85.929,0.3,0.308,5.29,41.753,4.183,636.684,747.569
1103,2001,21.37,31.706,36.431,31.864,84.421,0.298,0.308,5.284,40.946,4.068,871.592,956.775
1103,2006,21.344,31.733,36.398,31.869,84.478,0.298,0.308,5.285,40.911,4.066,566.767,750.015
1103,2011,21.334,31.728,36.387,31.885,84.429,0.298,0.308,5.285,40.91,4.066,911.255,870.721
